X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC
103.748007263577605,1.335120093402456,28651,B01,OPP IMM BLDG
103.73318535792815,1.342489126373234,28349,B16,OPP CHINESE GDN STN
103.742913905803547,1.323883838266628,20061,B02,AFT JURONG TOWN HALL RD
103.744903426344578,1.327528773527097,28221,B07,OPP INTL BUSINESS PK
103.738540149708157,1.334502427576453,28439,B124,BLK 124
103.748361701725756,1.345016747496282,43511,B07,BT BATOK SWIM CPLX
103.744203809765736,1.340467526680436,28631,B05,OPP BLK 288D
103.744075545393173,1.320485503136516,20209,B02,OPP PANDAN PR SCH
103.743615969422208,1.341602234960441,28621,B07,BLK 241
103.748179028589533,1.330693125087537,28049,B06,OPP THE SYNERGY
103.737037517241049,1.334123976655291,28259,B12,OPP S'PORE SCIENCE CTR
103.741738270111554,1.321807732660772,20211,B03,BLK 41
103.752357301305565,1.327209889027895,28031,B03,BEF THE SYNERGY
103.732647543927058,1.342522382787927,28341,B15,CHINESE GDN STN
103.743989883357045,1.340392181064363,28639,B06,BLK 288E
103.739082520596867,1.336169257802516,28441,B03,SEVENTH-DAY ADVENT CH
103.74424095467684,1.32403148788217,20069,B01,BEF JURONG TOWN HALL RD
103.734272972616594,1.33955998756418,28279,B16,BLK 114
103.748286834057083,1.329996108970654,28041,B05,THE SYNERGY
103.745472803888518,1.321646425080193,20261,B03,AFT PANDAN GDNS
103.741069552636148,1.338263479699038,28311,B05,BLK 209
103.743402657817867,1.321243745031447,20201,B01,TEBAN GDN PO
103.741730417344215,1.338507506993373,28319,B06,BLK 207
103.739697378395178,1.336447721918195,28449,B04,BEF SEVENTH-DAY ADVENT CH
103.741071251178596,1.341266516140209,28321,B01,BLK 239
103.745672608444067,1.332343694543091,28051,B07,AFT JURONG EAST ST 11
103.744201941202064,1.341925726513798,28629,B08,BLK 266
103.738080044087354,1.342019747351828,28331,B03,BLK 229
103.747727451066311,1.334511788804144,28659,B02,IMM BLDG
103.749408213258377,1.336656544062301,28661,B07,MORI SEIKI
103.737386974626403,1.342725218502775,28339,B04,BLK 252
103.746130083630788,1.344987139017674,43691,B01,BLK 190
103.743077816444625,1.329758870641009,28239,B09,OPP JURONG TOWN HALL
103.745761941701758,1.332656672605447,28059,B08,BEF TOH GUAN RD
103.752292664607921,1.337205463812246,28671,B05,ALLIANCE BLDG
103.73458754599956,1.343997471576043,28451,B05,PARC OASIS AVE1
103.751375622259118,1.328117886418011,28039,B04,AFT BOON LAY SUB STN
103.73501726695973,1.336445705679432,28269,B14,BLK 118
103.738751399495754,1.326612276581309,20081,B04,CARRIER S'PORE
103.738962368276546,1.337685757933572,28071,B11,BLK 105
103.742683803104924,1.335847403602399,28061,B09,JURONG EAST STN/INT
103.738665769132794,1.338336059591843,28079,B12,BLK 210
103.74779152660156,1.323320978283092,20059,B21,OPP CYCLE \& CARRIAGE
103.746011355763912,1.339052847465548,28649,B04,BLK 286A
103.741493346082166,1.322062790257351,20219,B04,BEF BLK 11
103.734859381355335,1.336201578203185,28261,B15,AFT S'PORE SCIENCE CTR
103.735970969395879,1.342209376280419,28289,B18,BLK 228
103.745779439474404,1.321457669957195,20269,B04,BEF PANDAN GDNS
103.742577773986554,1.336388530723777,28069,B10,BLK 203
103.746230969839885,1.344673248028341,43699,B02,BLK 298
103.754353276103686,1.337340669619845,28689,B04,OPP TOH GUAN CTR
103.740474103787079,1.341458303333757,28329,B02,BLK 246
103.733945790806416,1.339287230999028,28271,B17,OPP BLK 114
103.736409920012491,1.340153549084077,28089,B14,BEF YUHUA CC
103.739581186185944,1.331847000969898,28241,B11,OPP JURONG EAST LIB
103.735428644341525,1.341925988579112,28281,B19,PARC OASIS JURONG TOWN HALL
103.75492878652139,1.337168665278026,28681,B03,TOH GUAN CTR
103.739462487879578,1.322519114870852,20239,B06,AFT HASANAH MQUE
103.745983713358825,1.339320160363187,28641,B03,BLK 284
103.736575059026222,1.339560499777563,28081,B13,BLK 112
103.739336127224377,1.326934774188097,20089,B03,OPP CARRIER S'PORE
103.747492531457027,1.322617080887598,20051,B22,CYCLE & CARRIAGE
103.736835112440389,1.344650605261154,28299,B20,BLK 253
103.751064518941078,1.336601934139216,28679,B06,HITACHI ELEVATOR BLDG
103.739583800807793,1.322273031011311,20231,B05,BEF HASANAH MQUE
103.736417645214829,1.321229396217364,20241,B02,OPP BLK 51
103.738867545419907,1.334581002768053,28431,B134,BLK 134
103.74592968998347,1.325261981919793,28229,B06,GERMAN CTR
103.74586676952346,1.326243067942473,28309,B06A,INTL BUSINESS PK
103.745560851626948,1.325034558539359,20271,B05,OPP GERMAN CTR
103.739142881643076,1.332509941867916,28249,B10,JURONG EAST LIB
103.736328222357315,1.344410335800012,28291,B21,BLK 303
103.736910162075546,1.333806737039852,28251,B13,S'PORE SCIENCE CTR
103.740408632880659,1.334740135432263,28301,B131,BLK 131
103.749329770543497,1.336466016920565,28669,B08,JURONG EAST WAREHSE
103.741492335732062,1.333286412688302,28009,B.INT,JURONG EAST INT - EO
103.742772330695146,1.329598167452636,28231,B09,JURONG TOWN HALL
103.748216354361915,1.34520678361204,,,OPP BT BATOK SWIM CPLX
