X,Y,OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSFLO,ADDRESSPOS,ADDRESSSTR,DESCRIPTIO,HYPERLINK,NAME,PHOTOURL,ADDRESSUNI
103.736754205444868,1.341372149886767,136,,,,601223,223A Jurong East Street 21 #01-851,Kindergartens,,PCF SPARKLETOTS PRESCHOOL @ YUHUA Blk 223A (KN,,
103.739676494264714,1.343165853512232,137,,,,600251,251 Jurong East Street 24 #01-110,Kindergartens,,PCF SPARKLETOTS PRESCHOOL @ YUHUA Blk 251 (KN,,
103.742666857250398,1.338436396190608,238,,,,600208,208 Jurong East Street 21 #01-183,Kindergartens,,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 208,,
103.746228330602762,1.321769858601096,380,,,,609338,202 Pandan Gardens,Kindergartens,,Galilee Kindergarten,,
103.745983719360851,1.321212638086089,397,,,,609337,201 Pandan Gardens,Kindergartens,,Calvary Pandan Kindergarten,,
103.739968203887727,1.320494554126505,446,,,,600048,48 Teban Gardens Road #01-248,Kindergartens,,PCF SPARKLETOTS PRESCHOOL @ AYER RAJAH Blk 48 (KN,,
103.742841777387682,1.345558993985713,461,,,,650180,180 Bukit Batok West Avenue 8 #01-181,Kindergartens,,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK Blk 180 (KN,,
103.746604060797409,1.337888403868081,464,,,,603285,285C Toh Guan Road #01-92,Kindergartens,,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 285C (KN,,
103.738221332667209,1.321695380787474,476,,,,608878,492 Teban Gardens Road,Kindergartens,,Hasanah Mosque Kindergarten,,
103.738395323530114,1.335680888218987,495,,,,609648,90 Jurong East Street 13,Kindergartens,,Seventh-day Adventist Kindergarten,,
103.74145712901533,1.339210513950067,517,,,,609603,271 Jurong East Street 21,Kindergartens,,Al - Mukminin Mosque Kindergarten,,
