date,time of day when journeys start,LOCATIONS OF BUS AND TRAIN STOPS WHERE JOURNEYS START,number of journeys,X,Y,DateTime
2014-07-14,00:00:00,AFT PANDAN GDNS,1,11548893.2,147138.0561,2014-07-14 00:00:00
2014-07-14,00:00:00,BEF PANDAN GDNS,3,11548927.34,147117.0384,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 131,4,11548329.46,148596.033,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 134,3,11548157.91,148578.3136,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 203,1,11548570.93,148779.5814,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 228,6,11547835.47,149427.732,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 229,1,11548070.25,149406.6168,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 239,2,11548403.23,149322.7445,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 241,1,11548686.5,149360.1268,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 252,1,11547993.09,149485.1711,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 286A,1,11548953.16,149076.2526,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 288E,1,11548728.13,149225.3873,2014-07-14 00:00:00
2014-07-14,00:00:00,BLK 303,1,11547875.23,149672.809,2014-07-14 00:00:00
2014-07-14,00:00:00,GERMAN CTR,1,11548944.06,147540.6454,2014-07-14 00:00:00
2014-07-14,00:00:00,IMM BLDG,1,11549144.19,148570.6066,2014-07-14 00:00:00
2014-07-14,00:00:00,JURONG EAST STN/INT,37,11548582.73,148719.327,2014-07-14 00:00:00
2014-07-14,00:00:00,JURONG EAST LIB,5,11548188.56,148347.7017,2014-07-14 00:00:00
2014-07-14,00:00:00,JURONG EAST STN/INT,4,11548582.73,148719.327,2014-07-14 00:00:00
2014-07-14,00:00:00,JURONG EAST TEMP INT,48,11548450.1,148434.1614,2014-07-14 00:00:00
2014-07-14,00:00:00,OPP BT BATOK SWIM CPLX,1,11549198.62,149761.4936,2014-07-14 00:00:00
2014-07-14,00:00:00,OPP CARRIER S'PORE,1,11548210.07,147726.9097,2014-07-14 00:00:00
2014-07-14,00:00:00,OPP CHINESE GDN STN,1,11547525.37,149458.8822,2014-07-14 00:00:00
