Locations of bus and train stops of station-visits,time of day of station-visits,action at this station,number of station-visits per day
Aft Hasanah Mque,00:00,alighting,3.225806451612903
Aft Hasanah Mque,00:30,alighting,1.6129032258064515
Aft Hasanah Mque,00:30,boarding,1.6129032258064515
Aft Hasanah Mque,05:30,alighting,1.6129032258064515
Aft Hasanah Mque,05:30,boarding,41.935483870967744
Aft Hasanah Mque,06:00,boarding,117.74193548387096
Aft Hasanah Mque,06:30,alighting,6.451612903225806
Aft Hasanah Mque,06:30,boarding,182.25806451612902
Aft Hasanah Mque,07:00,alighting,8.064516129032258
Aft Hasanah Mque,07:00,boarding,166.1290322580645
Aft Hasanah Mque,07:30,alighting,6.451612903225806
Aft Hasanah Mque,07:30,boarding,127.41935483870968
Aft Hasanah Mque,08:00,alighting,16.129032258064516
Aft Hasanah Mque,08:00,boarding,141.93548387096774
Aft Hasanah Mque,08:30,alighting,11.290322580645162
Aft Hasanah Mque,08:30,boarding,101.61290322580645
Aft Hasanah Mque,09:00,alighting,6.451612903225806
Aft Hasanah Mque,09:00,boarding,83.87096774193549
Aft Hasanah Mque,09:30,alighting,17.741935483870968
Aft Hasanah Mque,09:30,boarding,111.29032258064517
Aft Hasanah Mque,10:00,alighting,12.903225806451612
Aft Hasanah Mque,10:00,boarding,75.80645161290323
Aft Hasanah Mque,10:30,alighting,24.193548387096776
Aft Hasanah Mque,10:30,boarding,66.12903225806451
Aft Hasanah Mque,10:30,interchanging,3.225806451612903
Aft Hasanah Mque,11:00,alighting,9.67741935483871
Aft Hasanah Mque,11:00,boarding,69.35483870967742
Aft Hasanah Mque,11:30,alighting,9.67741935483871
Aft Hasanah Mque,11:30,boarding,58.064516129032256
Aft Hasanah Mque,12:00,alighting,4.838709677419355
Aft Hasanah Mque,12:00,boarding,64.51612903225806
Aft Hasanah Mque,12:30,alighting,24.193548387096776
Aft Hasanah Mque,12:30,boarding,48.38709677419355
Aft Hasanah Mque,12:30,interchanging,1.6129032258064515
Aft Hasanah Mque,13:00,alighting,30.64516129032258
Aft Hasanah Mque,13:00,boarding,61.29032258064516
Aft Hasanah Mque,13:30,alighting,33.87096774193548
Aft Hasanah Mque,13:30,boarding,45.16129032258065
Aft Hasanah Mque,14:00,alighting,20.967741935483872
Aft Hasanah Mque,14:00,boarding,54.83870967741935
Aft Hasanah Mque,14:00,interchanging,1.6129032258064515
Aft Hasanah Mque,14:30,alighting,22.580645161290324
Aft Hasanah Mque,14:30,boarding,20.967741935483872
Aft Hasanah Mque,15:00,alighting,32.25806451612903
Aft Hasanah Mque,15:00,boarding,27.419354838709676
Aft Hasanah Mque,15:00,interchanging,1.6129032258064515
Aft Hasanah Mque,15:30,alighting,30.64516129032258
Aft Hasanah Mque,15:30,boarding,41.935483870967744
Aft Hasanah Mque,15:30,interchanging,1.6129032258064515
Aft Hasanah Mque,16:00,alighting,43.54838709677419
Aft Hasanah Mque,16:00,boarding,46.774193548387096
Aft Hasanah Mque,16:00,interchanging,1.6129032258064515
Aft Hasanah Mque,16:30,alighting,24.193548387096776
Aft Hasanah Mque,16:30,boarding,37.096774193548384
Aft Hasanah Mque,17:00,alighting,25.806451612903224
Aft Hasanah Mque,17:00,boarding,46.774193548387096
Aft Hasanah Mque,17:30,alighting,54.83870967741935
Aft Hasanah Mque,17:30,boarding,69.35483870967742
Aft Hasanah Mque,17:30,interchanging,1.6129032258064515
Aft Hasanah Mque,18:00,alighting,75.80645161290323
Aft Hasanah Mque,18:00,boarding,62.903225806451616
Aft Hasanah Mque,18:00,interchanging,1.6129032258064515
Aft Hasanah Mque,18:30,alighting,69.35483870967742
Aft Hasanah Mque,18:30,boarding,50
Aft Hasanah Mque,18:30,interchanging,1.6129032258064515
Aft Hasanah Mque,19:00,alighting,53.225806451612904
Aft Hasanah Mque,19:00,boarding,38.70967741935484
Aft Hasanah Mque,19:30,alighting,48.38709677419355
