date,time of day when journeys end,LOCATIONS OF BUS AND TRAIN STOPS WHERE JOURNEYS END,planning areas where journeys end,number of journeys,X,Y,DateTime
2014-07-14,0:00:00,BLK 229,JURONG EAST,3,11548070.25,149406.6168,2014-07-14 00:00:00
2014-07-14,0:00:00,BLK 239,JURONG EAST,1,11548403.23,149322.7445,2014-07-14 00:00:00
2014-07-14,0:00:00,BLK 284,JURONG EAST,1,11548950.08,149106.0179,2014-07-14 00:00:00
2014-07-14,0:00:00,CYCLE & CARRIAGE,JURONG EAST,1,11549118.04,147246.1378,2014-07-14 00:00:00
2014-07-14,0:00:00,JURONG EAST MRT,JURONG EAST,1,11548535.92,148425.5443,2014-07-14 00:00:00
2014-07-14,0:00:00,JURONG EAST TEMP INT,JURONG EAST,1,11548450.1,148434.1614,2014-07-14 00:00:00
2014-07-14,0:00:00,OPP BLK 51,JURONG EAST,1,11547885.19,147091.6203,2014-07-14 00:00:00
2014-07-14,0:00:00,PARC OASIS AVE1,JURONG EAST,1,11547681.46,149626.8366,2014-07-14 00:00:00
2014-07-14,0:15:00,OPP BLK 51,JURONG EAST,1,11547885.19,147091.6203,2014-07-14 00:15:00
2014-07-14,0:45:00,BEF HASANAH MQUE,JURONG EAST,1,11548237.64,147207.8281,2014-07-14 00:45:00
2014-07-14,0:45:00,BLK 124,JURONG EAST,2,11548121.47,148569.5643,2014-07-14 00:45:00
2014-07-14,0:45:00,OPP JURONG EAST LIB,JURONG EAST,1,11548237.35,148273.8835,2014-07-14 00:45:00
2014-07-14,1:00:00,OPP BLK 288D,JURONG EAST,1,11548751.94,149233.777,2014-07-14 01:00:00
2014-07-14,5:15:00,OPP IMM BLDG,JURONG EAST,1,11549175.34,148638.3412,2014-07-14 05:15:00
2014-07-14,5:30:00,BLK 124,JURONG EAST,7,11548121.47,148569.5643,2014-07-14 05:30:00
2014-07-14,5:30:00,JURONG EAST TEMP INT,JURONG EAST,3,11548450.1,148434.1614,2014-07-14 05:30:00
2014-07-14,5:30:00,JURONG TOWN HALL,JURONG EAST,1,11548592.59,148023.477,2014-07-14 05:30:00
2014-07-14,5:30:00,OPP GERMAN CTR,JURONG EAST,2,11548903.01,147515.322,2014-07-14 05:30:00
2014-07-14,5:30:00,TEBAN GDN PO,JURONG EAST,1,11548662.76,147093.218,2014-07-14 05:30:00
2014-07-14,5:45:00,BEF SEVENTH-DAY ADVENT CH,JURONG EAST,1,11548250.29,148786.1723,2014-07-14 05:45:00
2014-07-14,5:45:00,BLK 124,JURONG EAST,3,11548121.47,148569.5643,2014-07-14 05:45:00
2014-07-14,5:45:00,BLK 210,JURONG EAST,1,11548135.45,148996.4384,2014-07-14 05:45:00
2014-07-14,5:45:00,BLK 229,JURONG EAST,5,11548070.25,149406.6168,2014-07-14 05:45:00
2014-07-14,5:45:00,BLK 246,JURONG EAST,1,11548336.75,149344.1,2014-07-14 05:45:00
2014-07-14,5:45:00,JURONG EAST TEMP INT,JURONG EAST,12,11548450.1,148434.1614,2014-07-14 05:45:00
2014-07-14,5:45:00,OPP BLK 288D,JURONG EAST,1,11548751.94,149233.777,2014-07-14 05:45:00
2014-07-14,5:45:00,OPP IMM BLDG,JURONG EAST,1,11549175.34,148638.3412,2014-07-14 05:45:00
2014-07-14,5:45:00,OPP JURONG EAST LIB,JURONG EAST,1,11548237.35,148273.8835,2014-07-14 05:45:00
2014-07-14,5:45:00,OPP THE SYNERGY,JURONG EAST,1,11549194.46,148145.3999,2014-07-14 05:45:00
2014-07-14,5:45:00,PARC OASIS AVE1,JURONG EAST,1,11547681.46,149626.8366,2014-07-14 05:45:00
2014-07-14,5:45:00,TEBAN GDN PO,JURONG EAST,2,11548662.76,147093.218,2014-07-14 05:45:00
2014-07-14,6:00:00,AFT BOON LAY SUB STN,CLEMENTI,1,11549550.3,147858.6485,2014-07-14 06:00:00
2014-07-14,6:00:00,ALLIANCE BLDG,CLEMENTI,3,11549652.39,148870.5467,2014-07-14 06:00:00
2014-07-14,6:00:00,BEF JURONG TOWN HALL RD,JURONG EAST,1,11548756.08,147403.6308,2014-07-14 06:00:00
