"shapeid","osm_id","name","ref","type","oneway","bridge","maxspeed"
"0","22071724.0","Boon Lay Way","NULL","primary","1","0","NULL"
"1","22752251.0","Jurong East Central","NULL","secondary","1","0","NULL"
"2","22752252.0","Jurong East Avenue 1","NULL","tertiary","0","0","NULL"
"3","22752253.0","Jurong East Flyover","NULL","secondary","1","1","NULL"
"4","22752419.0","Bukit Batok Street 24","NULL","residential","0","0","NULL"
"5","22752658.0","Toh Guan Road","NULL","motorway_link","1","1","NULL"
"6.0","22885490.0","NULL","NULL","footway","0","0","NULL"
"6.1","22885490.0","NULL","NULL","footway","0","0","NULL"
"7","22903881.0","Penjuru Road","NULL","primary","1","0","NULL"
"8","22903882.0","Penjuru Road","NULL","motorway_link","1","0","NULL"
"9","22903984.0","Pandan Gardens","NULL","residential","0","0","NULL"
"10","22903986.0","Pandan Gardens","NULL","residential","0","0","NULL"
"11","22903989.0","Jurong Town Hall Road","NULL","primary","1","0","NULL"
"12","22903990.0","NULL","NULL","residential","0","0","NULL"
"13","22904179.0","Bukit Batok Avenue 1","NULL","secondary","1","0","NULL"
"14","22904180.0","Jurong East Flyover","NULL","secondary","1","1","NULL"
"15","22904181.0","Jurong East Central","NULL","secondary","1","0","NULL"
"16","22904182.0","Jurong East Street 21","NULL","residential","1","0","NULL"
"17","22904183.0","Jurong East Street 24","NULL","residential","0","0","NULL"
"18","22904185.0","Jurong East Street 24","NULL","residential","0","0","NULL"
"19","22904186.0","Jurong Town Hall Road","NULL","primary","1","0","NULL"
"20","22904188.0","Jurong East Street 13","NULL","residential","0","0","NULL"
"21","22904191.0","Jurong East Street 11","NULL","secondary","0","0","NULL"
"22","22904192.0","International Business Park","NULL","residential","0","0","NULL"
"23","22904193.0","International Business Park","NULL","residential","0","0","NULL"
"24","22904194.0","NULL","NULL","residential","0","0","NULL"
"25","22904195.0","International Business Park","NULL","residential","0","0","NULL"
"26","22904196.0","International Business Park","NULL","unclassified","0","0","NULL"
"27","22904197.0","NULL","NULL","residential","0","0","NULL"
"28","22904198.0","International Business Park","NULL","residential","0","0","NULL"
"29","22904199.0","International Business Park","NULL","residential","0","0","NULL"
"30","22904200.0","International Business Park","NULL","residential","0","0","NULL"
"31","22904202.0","NULL","NULL","residential","0","0","NULL"
"32","22945281.0","International Business Park","NULL","residential","0","0","NULL"
"33","22945311.0","NULL","NULL","residential","0","0","NULL"
"34","22945418.0","Bukit Batok West Avenue 8","NULL","residential","0","0","NULL"
"35","23005091.0","Jurong East Central","NULL","secondary","1","0","NULL"
"36","29075905.0","NULL","NULL","footway","0","0","NULL"
"37","29075906.0","NULL","NULL","footway","0","1","NULL"
"38.0","29075907.0","NULL","NULL","footway","0","0","NULL"
"38.1","29075907.0","NULL","NULL","footway","0","0","NULL"
"38.2","29075907.0","NULL","NULL","footway","0","0","NULL"
"39","29075908.0","NULL","NULL","footway","0","0","NULL"
"40","29075909.0","NULL","NULL","steps","0","0","NULL"
"41","29075910.0","NULL","NULL","steps","0","0","NULL"
"42","29075911.0","NULL","NULL","footway","0","0","NULL"
"43","29075912.0","NULL","NULL","footway","0","0","NULL"
"44","29075913.0","NULL","NULL","footway","0","1","NULL"
"45","29075914.0","NULL","NULL","footway","0","0","NULL"
"46","29075915.0","NULL","NULL","footway","0","0","NULL"
"47","29075916.0","NULL","NULL","footway","0","0","NULL"
"48","29075917.0","NULL","NULL","footway","0","0","NULL"
"49","29075919.0","NULL","NULL","footway","0","0","NULL"
"50","29075920.0","NULL","NULL","footway","0","0","NULL"
"51","29075921.0","NULL","NULL","footway","0","0","NULL"
"52","33543929.0","NULL","NULL","service","1","0","NULL"
"53","33738019.0","NULL","NULL","footway","0","0","NULL"
"54","33738106.0","NULL","NULL","secondary_link","1","0","NULL"
"55","33738141.0","NULL","NULL","secondary_link","1","0","NULL"
"56","44628803.0","Tebon Flyover","AYE","motorway","1","1","NULL"
"57","44628805.0","Exit Ramp #13","NULL","motorway_link","1","0","NULL"
"58","44628807.0","NULL","NULL","motorway_link","1","0","NULL"
"59","44628809.0","Exit Ramp #13","NULL","motorway_link","1","0","NULL"
"60","44628816.0","Ayer Rajah Expressway","AYE","motorway","1","0","NULL"
"61","44628818.0","Tebon Flyover","AYE","motorway","1","1","NULL"
"62","44628820.0","Ayer Rajah Expressway","AYE","motorway","1","0","NULL"
"63","44638548.0","Jalan Ahmad Ibrahim","NULL","motorway_link","1","0","NULL"
"64","44818693.0","Pan-Island Expressway","PIE","motorway","1","0","NULL"
"65","44818743.0","NULL","NULL","motorway_link","1","0","NULL"
"66","44818748.0","NULL","NULL","motorway_link","1","0","NULL"
"67","44818749.0","NULL","NULL","motorway_link","1","0","NULL"
"68","44818750.0","Exit Ramp #31","NULL","motorway_link","1","0","NULL"
